,e,j,afterTax,e_Roth,e_Taxd,j_Roth,j_Taxd,e_RMD,j_RMD,to_aTax,from_aTax,from_eRoth,from_jRoth,from_eTaxd,from_jTaxd,e_RothConv,j_RothConv,SSA_income,pension_income,misc_income,charity,e_Taxd_in,j_Taxd_in,auto_income,disp_income,taxable_income,IRMAA,dividends,capgains,QCD_limit,QCD,income_tax,tax_bracket,cgains_rate,MAGI,ror_bonds,ror_stock,dvd_stock,frac_bonds_a,frac_stock_a,frac_bonds_r,frac_stock_r,frac_bonds_d,frac_stock_d,aTax__cash,aTax_bonds,aTax_basis,aTax_unrlz,fm_aTax__cash,fm_aTax_bonds,fm_aTax_basis,fm_aTax_unrlz,to_aTax__cash,to_aTax_bonds,to_aTax_basis,to_aTax_unrlz,e_RMD_factor,j_RMD_factor,tax0,tax1,tax2,tax3,tax4,tax5,tax6,cgt0,cgt15,obbba_pax,IRMAA-buk0,IRMAA-buk1,IRMAA-buk2,IRMAA-buk3,IRMAA-buk4,IRMAA-buk5,IRMAA-chg0,IRMAA-chg1,IRMAA-chg2,IRMAA-chg3,IRMAA-chg4,IRMAA-chg5,IRMAA-bins,spend_δ,surplus,net_pretax,net_postax,year
2024,65,65,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,59.31,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,42.0,0.03,0.07,0.0326,0.4,0.6,0.4,0.6,0.4,0.6,0.0,40.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02,unlimited,0.0,0.0,1.0,0.0,optimal,SOLVED,0.0,0.168429,15.0,unlimited,0.0,1.04,0.0,0.0,0.0,2024
2025,66,66,72.368,109.324,101.476,136.658,74.142,0.0,0.0,2.244,29.876,0.0,0.0,0.0,0.0,3.924,31.258,36.72,0.0,1.0,1.02,0.0,0.0,36.436,61.683,70.55,4.44,3.156,12.0,0.0,0.0,2.385,0.1,0.0,88.058,0.03,0.07,0.0326,0.4,0.6,0.4,0.6,0.4,0.6,0.0,28.947,13.177,30.244,0.0,11.053,6.823,12.0,0.0,0.0,0.0,2.244,0.0,0.0,34.7,23.85,73.1,109.74999999999999,187.90000000000003,106.44999999999999,250.55,131.4,73.1,2,212.0,54.0,68.0,66.0,350.0,9999.0,4.44,2.104799999999999,3.1824000000000003,3.1823999999999995,3.1823999999999995,1.0608000000000004,1.0,1.04,0.0,493.968,476.40619999999996,2025
2026,67,67,41.995,151.764,70.419,144.038,78.145,0.0,0.0,5.776,36.149,0.0,0.0,0.0,0.0,36.537,0.0,37.4544,0.0,1.0,1.0404,0.0,0.0,36.21,64.15,71.657,4.529,2.284,12.0,0.0,0.0,2.433,0.1,0.0,89.275,0.03,0.07,0.0326,0.4,0.6,0.4,0.6,0.4,0.6,0.0,16.798,5.329,19.868,0.0,12.149,12.0,12.0,0.0,0.0,4.152,1.624,0.0,0.0,35.330000000000005,24.327,74.562,111.945,191.65800000000004,108.579,255.561,133.964,74.562,2,216.24,55.08,69.36,67.32000000000001,357.0,10198.98,4.5288,2.146895999999999,3.2460480000000005,3.2460479999999996,3.2460479999999996,1.0820160000000005,1.0,1.04,0.0,486.361,471.5046,2026
2027,68,68,14.684,197.947,36.234,145.839,82.365,0.0,0.0,0.942,28.253,0.0,5.977,0.0,0.0,37.988,0.0,38.20348800000001,0.0,1.0,1.0612080000000002,0.0,0.0,35.909,66.716,72.786,4.619,1.325,12.0,0.0,0.0,2.481,0.1,0.0,90.517,0.03,0.07,0.0326,0.4,0.6,0.4,0.6,0.4,0.6,0.0,5.874,0.0,8.81,0.0,10.924,5.329,12.0,0.0,0.0,0.0,0.942,0.0,0.0,35.9726,24.81354,76.05323999999999,114.18389999999998,195.49116000000004,110.75057999999999,260.67222,136.57927999999998,76.05323999999999,2,220.5648,56.1816,70.74719999999999,68.6664,364.14,10402.9596,4.619376,2.189833919999999,3.3109689600000003,3.3109689599999994,3.3109689599999994,1.1036563200000005,1.0,1.04,0.0,477.069,465.20910000000003,2027
2028,69,69,0.549,232.302,2.029,144.149,86.813,0.0,0.0,0.33,14.464,12.496,9.566,0.0,0.0,36.162,0.0,38.96755776,0.0,1.0,1.08243216,0.0,0.0,35.719,69.385,70.748,4.712,0.463,8.81,0.0,0.0,2.531,0.1,0.0,85.404,0.03,0.07,0.0326,0.4,0.6,0.4,0.6,0.4,0.6,0.0,0.22,0.0,0.33,0.0,5.654,0.0,8.81,0.0,0.0,0.0,0.33,0.0,0.0,36.62805200000001,25.309810800000005,77.57430480000001,116.467578,199.40098320000007,112.96559160000001,265.88566440000005,139.24686560000004,77.57430480000001,2,224.97609600000004,57.30523200000001,72.16214400000001,70.03972800000001,371.42280000000005,10611.018792,4.711763520000001,2.2336305983999996,3.377188339200001,3.3771883392,3.3771883392,1.1257294464000005,1.0,1.04,0.0,465.841,456.9578,2028
2029,70,70,0.021,244.846,1.034,143.092,63.19,0.0,0.0,0.012,0.541,0.0,37.151,1.104,0.0,0.0,28.31,39.7469089152,0.0,1.0,1.1040808032,0.0,0.0,35.958,72.16,63.113,4.806,0.017,0.33,233.80534656,1.104,2.582,0.1,0.0,70.508,0.03,0.07,0.0326,0.4,0.6,0.4,0.6,0.4,0.6,0.0,0.008,0.0,0.012,0.0,0.211,0.0,0.33,0.0,0.0,0.0,0.012,0.0,0.0,37.296613040000004,25.816007016,79.125790896,118.79692955999998,203.38900286400002,115.22490343199999,271.203377688,141.967802912,79.125790896,0,229.47561792,58.45133664,73.60538688,71.44052256,378.851256,10823.23916784,4.8059987904,2.278303210367999,3.4447321059840004,3.4447321059839995,3.4447321059839995,1.1482440353280003,1.0,1.04,0.0,452.183,445.7606,2029
2030,71,71,0.001,258.068,1.09,150.794,65.476,0.0,0.0,0.0,0.02,0.0,0.025,0.0,1.126,0.0,0.0,81.083694187008,0.0,1.0,1.126162419264,0.0,0.0,77.182,75.047,69.922,4.902,0.001,0.012,238.4814534912,1.126,3.307,0.12,0.0,83.223,0.03,0.07,0.0326,0.4,0.6,0.4,0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,37.9785453008,26.33232715632,80.70830671392,121.17286815119999,207.45678292128005,117.52940150063999,276.62744524176003,144.74315897024002,80.70830671392,0,234.0651302784,59.6203633728,75.0774946176,72.8693330112,386.42828112,11039.7039511968,4.902118766208001,2.323869274575359,3.5136267481036803,3.5136267481036794,3.5136267481036794,1.1712089160345605,1.0000000000000007,1.04,0.0,475.429,467.44107999999994,2030
2031,72,72,0.0,270.432,0.0,158.937,69.012,0.0,0.0,0.0,0.0,1.572,0.0,1.149,0.0,0.0,0.0,82.70536807074816,0.0,1.0,1.14868566764928,0.0,0.0,78.705,78.048,71.3,5.0,0.0,0.0,243.25108256102402,1.149,3.378,0.12,0.0,84.854,0.03,0.07,0.0326,0.4,0.6,0.4,0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.674116206816,26.858973699446402,82.3224728481984,123.59632551422399,211.60591857970564,119.8799895306528,282.15999414659524,147.5740221496448,82.3224728481984,0,238.74643288396803,60.812770640256005,76.579044509952,74.326719671424,394.15684674240003,11260.498030220737,5.0001611415321605,2.3703466600668666,3.583899283065754,3.5838992830657532,3.5838992830657532,1.1946330943552517,1.0,1.04,0.0,498.381,490.09956000000005,2031
2032,73,73,0.0,283.106,0.0,167.52,70.134,0.0,2.604,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,84.35947543216314,0.0,1.0,1.1716593810022657,0.0,0.0,82.864,81.17,74.138,5.1,0.0,0.0,248.1161042122445,1.172,3.623,0.12,0.0,87.964,0.03,0.07,0.0326,0.4,0.6,0.4,0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.03773584905660377,39.38359853095233,27.39615317343533,83.96892230516237,126.06825202450847,215.83803695129976,122.27758932126585,287.8031940295271,150.46150259263771,83.96892230516237,0,243.52136154164737,62.02902605306112,78.11062540015104,75.81325406485249,402.039983677248,11485.70799082515,5.100164364362803,2.4177535932682037,3.655577268727069,3.6555772687270682,3.6555772687270682,1.2185257562423568,1.0,1.04,0.0,520.76,512.34392,2032
2033,74,74,0.0,294.859,0.0,176.566,71.171,0.0,2.75,0.0,0.0,3.534,0.0,0.0,0.0,0.0,0.0,86.0466649408064,0.0,1.0,1.195092568622311,0.0,0.0,84.595,84.417,75.695,5.202,0.0,0.0,253.0784262964894,1.195,3.712,0.12,0.0,89.797,0.03,0.07,0.0326,0.4,0.6,0.4,0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0392156862745098,40.10727050157137,27.94407623690404,85.64830075126562,128.58961706499863,220.15479769032578,124.72314110769118,293.5592579101177,153.40673264449046,85.64830075126562,0,248.39178877248034,63.26960657412235,79.67283790815407,77.32951914614954,410.080783350793,11715.422150641654,5.20216765165006,2.466108665133568,3.728688814101611,3.7286888141016097,3.7286888141016097,1.242896271367204,1.0,1.04,0.0,542.597,534.05548,2033
